,gene_name
1581,VAMP7
1582,AMOT
1583,APOD
1584,SLC29A4
1585,GLRX2
1586,IRS1
1587,PRKAR1A
1588,PABPC1
1589,LAMP1
1590,TARBP2
1591,ENO1
1592,NME1
1593,CSRP3
1594,DLC1
1595,TP73
1596,PCM1
1597,DDRGK1
1598,CHI3L1
1599,INPPL1
1600,MCOLN1
1601,NFATC1
1602,CUBN
1603,RBBP4
1604,GBP5
1605,CHRM3
1606,ATP6V1A
1607,GRIN2C
1608,ACP3
1609,PRKRA
1610,KAT6A
1611,SEPTIN7
1612,F11R
1613,ERCC3
1614,SLC16A1
1615,ID4
1616,FAP
1617,SNRPB
1618,DAPK3
1619,SLC18A2
1620,AP3D1
1621,IL7R
1622,CUL4A
1623,RHO
1624,XRCC1
1625,STX17
1626,GDF5
1627,HUWE1
1628,WASF2
1629,EPHA3
1630,CAMK2B
1631,FAS
1632,ARL3
1633,POSTN
1634,RPS7
1635,RTN4R
1636,AHI1
1637,FRS2
1638,MSH6
1639,QKI
1640,EPS8
1641,SPTBN2
1642,CACNA1C
1643,SERPINF1
1644,ZAP70
1645,AKAP5
1646,DYNC2H1
1647,GIGYF2
1648,RAB1A
1649,DDX17
1650,TTC8
1651,SPG11
1652,CCL4
1653,FZD7
1654,CRY2
1655,BBS7
1656,BCAR1
1657,SEMA3A
1658,MAP2K3
1659,ACTA2
1660,LEPR
1661,TTBK1
1662,PLXND1
1663,ATP5F1B
1664,HPN
1665,IRAK4
1666,RC3H2
1667,ADGRG1
1668,A2M
1669,GTF2B
1670,CHRNA4
1671,S100A12
1672,SNX3
1673,NTRK3
1674,ROBO2
1675,AGTR2
1676,OAS3
1677,EXT2
1678,FIS1
1679,FOXH1
1680,LRPAP1
1681,ACTR2
1682,ERBIN
1683,VTI1A
1684,MYO1D
1685,ITPKB
1686,STAT6
1687,ABI2
1688,SP100
1689,HEG1
1690,MAP2K5
1691,SCGB1A1
1692,PRKAG2
1693,RPL23
1694,ACTA1
1695,SULF2
1696,CENPE
1697,NUDT1
1698,ASH1L
1699,HK2
1700,SLC25A5
1701,NPHP3
1702,MBP
1703,NDFIP1
1704,MAOB
1705,DLX2
1706,FABP5
1707,DUOX1
1708,AGTR1
1709,USP7
1710,NECTIN1
1711,ATP2A1
1712,PIK3R2
1713,EHD3
1714,RAB21
1715,GIPC1
1716,PRDX3
1717,NTN1
1718,P2RX2
1719,ECE1
1720,YES1
1721,H2AX
1722,OPTN
1723,TIFAB
1724,PIK3C2A
1725,TOP1
1726,IFIH1
1727,ELAVL1
1728,ATP2B2
1729,TOPORS
1730,PSAP
1731,KCND2
1732,PPIF
1733,TPM1
1734,S100B
1735,GNA13
1736,CPEB3
1737,CCT8
1738,CSK
1739,BVES
1740,MTA1
